train,stations
0,"[Hilversum, Almere Centrum, Amsterdam Amstel, Utrecht Centraal, Schiphol Airport]"
1,"[Assen, Zwolle, Deventer, Apeldoorn, Deventer, Apeldoorn, Zutphen, Deventer, Almelo]"
2,"[Amsterdam Centraal, Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Amstel, Amsterdam Centraal, Amsterdam Sloterdijk, Haarlem, Heemstede-Aerdenhout, Haarlem, Heemstede-Aerdenhout]"
3,"[Zutphen, Dieren]"
4,"[Deventer, Zutphen]"
5,"[Leiden Centraal, Den Haag Laan v NOI, Delft, Den Haag HS, Delft, Den Haag HS, Gouda]"
6,"[]"
7,"[Delft, Schiedam Centrum, Delft, Den Haag HS, Delft, Den Haag HS, Delft]"
8,"[]"
9,"[Castricum, Alkmaar, Hoorn, Alkmaar, Castricum, Alkmaar, Castricum, Beverwijk]"
10,"[Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Amstel]"
11,"[]"
12,"[]"
13,"[]"
14,"[]"
15,"[Rotterdam Alexander, Rotterdam Centraal, Dordrecht, Rotterdam Blaak, Rotterdam Alexander, Gouda]"
16,"[]"
17,"[]"
18,"[Steenwijk, Zwolle, Deventer, Zutphen, Dieren, Zutphen, Dieren, Arnhem Centraal, Ede-Wageningen]"
19,"[]"
score,3909.287356321838
connections missing,[['Almere Centrum': 'Lelystad Centrum']: ['Amsterdam Amstel': 'Hilversum']: ['Amsterdam Centraal': 'Almere Centrum']: ['Helmond': 'Venlo']: ['Zwolle': 'Almelo']]
