train,stations
0,"[Delft, Den Haag HS, Delft, Schiedam Centrum, Rotterdam Blaak, Schiedam Centrum, Delft, Den Haag Centraal]"
1,"[Beverwijk, Castricum, Alkmaar, Castricum, Alkmaar, Castricum, Alkmaar, Castricum, Zaandam, Beverwijk, Zaandam, Amsterdam Sloterdijk]"
2,"[Hengelo, Enschede, Hengelo, Almelo, Hengelo, Almelo, Deventer, Zutphen, Apeldoorn, Deventer, Zwolle]"
3,"[Breda, Etten-Leur, Breda, Tilburg, s-Hertogenbosch, Oss, s-Hertogenbosch]"
4,"[Nijmegen, Arnhem Centraal, Ede-Wageningen, Arnhem Centraal, Dieren, Zutphen, Deventer, Apeldoorn, Deventer]"
5,"[Delft, Den Haag Laan v NOI]"
6,"[Alphen a/d Rijn, Leiden Centraal, Den Haag Centraal, Leiden Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Almere Centrum, Hilversum]"
7,"[Sittard]"
8,"[Rotterdam Centraal, Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Rotterdam Blaak, Dordrecht]"
9,"[Vlissingen, Roosendaal, Dordrecht, Breda, Etten-Leur]"
10,"[Helmond, Eindhoven, Helmond, Eindhoven, Helmond]"
11,"[s-Hertogenbosch, Oss, s-Hertogenbosch, Oss, s-Hertogenbosch, Tilburg, Breda]"
12,"[Zwolle]"
score,4761.0
connections missing,[['Alkmaar': 'Hoorn']: ['Alkmaar': 'Den Helder']: ['Almere Centrum': 'Lelystad Centrum']: ['Amsterdam Centraal': 'Almere Centrum']: ['Assen': 'Zwolle']: ['Den Haag HS': 'Gouda']: ['Den Haag HS': 'Leiden Centraal']: ['Den Haag Laan v NOI': 'Gouda']: ['Gouda': 'Alphen a/d Rijn']: ['Heemstede-Aerdenhout': 'Haarlem']: ['Leiden Centraal': 'Heemstede-Aerdenhout']: ['Zaandam': 'Hoorn']: ['Zwolle': 'Almelo']]
