iteration,score
8,3473.379310344828
10,3633.2068965517237
25,3694.1494252873554
26,3795.0344827586214
547,3808.0344827586214
1143,3823.0344827586214
1229,3889.977011494253
1234,3959.9195402298847
1301,3980.9195402298847
1311,3991.9195402298847
1328,4016.9195402298847
1351,4018.9195402298847
1397,4241.80459770115
1406,4309.747126436781
1411,4330.747126436781
2316,4338.747126436781
3300,4338.747126436781
3392,4338.747126436781
4679,4338.747126436781
4863,4338.747126436781
5258,4338.747126436781
5900,4338.747126436781
5963,4338.747126436781
5966,4338.747126436781
6158,4338.747126436781
7150,4338.747126436781
7397,4338.747126436781
7692,4338.747126436781
8504,4338.747126436781
8553,4338.747126436781
9183,4338.747126436781
9926,4338.747126436781
9955,4338.747126436781
10039,4338.747126436781
10433,4338.747126436781
10727,4338.747126436781
10881,4338.747126436781
11221,4338.747126436781
11270,4338.747126436781
11858,4338.747126436781
12286,4338.747126436781
12627,4338.747126436781
12801,4338.747126436781
12927,4338.747126436781
13034,4338.747126436781
13348,4338.747126436781
13357,4338.747126436781
13573,4338.747126436781
13734,4338.747126436781
13768,4338.747126436781
13848,4338.747126436781
13971,4338.747126436781
14271,4338.747126436781
14867,4338.747126436781
15253,4338.747126436781
16204,4338.747126436781
16474,4338.747126436781
16709,4338.747126436781
16897,4338.747126436781
17316,4338.747126436781
17419,4338.747126436781
17560,4338.747126436781
17691,4338.747126436781
18225,4338.747126436781
18347,4338.747126436781
19217,4338.747126436781
19458,4338.747126436781
19462,4338.747126436781
19834,4338.747126436781
19862,4338.747126436781
20329,4338.747126436781
20775,4338.747126436781
20907,4338.747126436781
21023,4338.747126436781
21680,4338.747126436781
21690,4338.747126436781
22485,4338.747126436781
22545,4338.747126436781
22706,4338.747126436781
22744,4338.747126436781
22999,4338.747126436781
23032,4338.747126436781
23209,4338.747126436781
23546,4338.747126436781
23549,4338.747126436781
23611,4338.747126436781
23818,4338.747126436781
24658,4338.747126436781
24942,4338.747126436781
24985,4338.747126436781
25118,4338.747126436781
25281,4338.747126436781
25687,4338.747126436781
25942,4338.747126436781
26171,4338.747126436781
26205,4338.747126436781
26285,4338.747126436781
26971,4338.747126436781
27150,4338.747126436781
27565,4338.747126436781
28278,4338.747126436781
28377,4338.747126436781
29116,4338.747126436781
29183,4338.747126436781
29319,4338.747126436781
29451,4338.747126436781
29778,4338.747126436781
29844,4338.747126436781
29873,4338.747126436781
29893,4338.747126436781
