train,stations
0,"[Lelystad Centrum, Almere Centrum, Amsterdam Amstel, Utrecht Centraal, Alphen a/d Rijn, Leiden Centraal, Schiphol Airport]"
1,"[Den Haag Laan v NOI, Leiden Centraal, Den Haag HS, Gouda, Rotterdam Alexander, Rotterdam Centraal, Dordrecht, Roosendaal, Etten-Leur, Roosendaal, Dordrecht]"
2,"[Den Haag Laan v NOI, Leiden Centraal, Den Haag Laan v NOI, Gouda, Utrecht Centraal, s-Hertogenbosch, Eindhoven, Helmond]"
3,"[Steenwijk]"
4,"[Zwolle, Steenwijk, Zwolle]"
5,"[Tilburg, s-Hertogenbosch, Utrecht Centraal, Amsterdam Centraal, Almere Centrum, Amsterdam Amstel, Amsterdam Zuid, Amsterdam Amstel]"
6,"[Hilversum, Amsterdam Amstel, Amsterdam Centraal, Utrecht Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Sloterdijk, Haarlem]"
7,"[Etten-Leur, Breda, Tilburg, Breda, Dordrecht, Rotterdam Centraal, Schiedam Centrum, Rotterdam Blaak, Rotterdam Alexander, Rotterdam Centraal, Rotterdam Alexander, Rotterdam Centraal, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Rotterdam Centraal]"
8,"[Den Haag HS, Delft, Schiedam Centrum, Delft, Den Haag Laan v NOI, Leiden Centraal, Den Haag Centraal, Delft]"
9,"[Tilburg, Eindhoven, Helmond, Eindhoven, Helmond, Eindhoven, Weert, Roermond, Sittard, Maastricht]"
10,"[Amersfoort, Utrecht Centraal, Amersfoort, Zwolle, Amersfoort]"
11,"[Leiden Centraal, Den Haag Laan v NOI, Leiden Centraal, Den Haag Laan v NOI]"
12,"[Arnhem Centraal, Dieren, Zutphen, Apeldoorn, Zutphen, Deventer, Almelo, Hengelo, Enschede, Hengelo, Enschede]"
13,"[Helmond, Eindhoven, Helmond, Eindhoven, Weert, Eindhoven, Helmond, Eindhoven]"
14,"[Amsterdam Sloterdijk, Zaandam, Amsterdam Sloterdijk, Haarlem, Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Sloterdijk, Zaandam, Amsterdam Sloterdijk]"
15,"[Venlo, Helmond, Eindhoven, Helmond, Eindhoven]"
16,"[Haarlem, Amsterdam Sloterdijk]"
17,"[Alkmaar, Castricum, Zaandam, Castricum, Beverwijk, Haarlem, Heemstede-Aerdenhout]"
18,"[Arnhem Centraal, Nijmegen, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal]"
score,4423.921348314607
connections missing,[['Leeuwarden': 'Groningen']: ['Roosendaal': 'Vlissingen']: ['Zwolle': 'Almelo']]
