train,stations
0,"[Roosendaal, Etten-Leur, Breda, Dordrecht, Roosendaal, Dordrecht, Rotterdam Centraal, Schiedam Centrum, Rotterdam Centraal, Schiedam Centrum]"
1,"[Dieren, Arnhem Centraal, Ede-Wageningen, Arnhem Centraal, Dieren, Arnhem Centraal, Ede-Wageningen, Arnhem Centraal, Dieren, Zutphen, Dieren]"
2,"[Hengelo, Enschede, Hengelo, Almelo, Hengelo]"
3,"[Zutphen, Dieren, Arnhem Centraal]"
4,"[Castricum]"
5,"[]"
6,"[Hengelo, Enschede, Hengelo, Enschede, Hengelo, Almelo, Zwolle]"
7,"[Den Haag Laan v NOI, Gouda, Den Haag HS, Delft, Den Haag Centraal, Delft, Den Haag HS, Delft, Schiedam Centrum, Delft]"
8,"[Heerenveen, Steenwijk, Heerenveen, Steenwijk, Heerenveen, Leeuwarden]"
9,"[Helmond, Eindhoven, Weert, Roermond]"
10,"[Dordrecht, Rotterdam Blaak, Schiedam Centrum, Rotterdam Blaak, Rotterdam Alexander, Rotterdam Blaak, Schiedam Centrum, Delft, Den Haag HS, Delft, Den Haag Centraal, Gouda, Rotterdam Alexander, Rotterdam Blaak, Schiedam Centrum]"
11,"[Sittard, Roermond]"
12,"[Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Centraal, Amsterdam Sloterdijk, Amsterdam Zuid, Schiphol Airport, Leiden Centraal, Alphen a/d Rijn]"
13,"[]"
score,4192.0
connections missing,[['Alkmaar': 'Hoorn']: ['Alkmaar': 'Den Helder']: ['Almere Centrum': 'Lelystad Centrum']: ['Amsterdam Amstel': 'Almere Centrum']: ['Amsterdam Amstel': 'Hilversum']: ['Amsterdam Centraal': 'Almere Centrum']: ['Beverwijk': 'Castricum']: ['Castricum': 'Alkmaar']: ['Den Haag Centraal': 'Leiden Centraal']: ['Den Haag HS': 'Leiden Centraal']: ['Gouda': 'Alphen a/d Rijn']: ['Groningen': 'Assen']: ['Helmond': 'Venlo']: ['Hilversum': 'Almere Centrum']: ['Leeuwarden': 'Groningen']: ['Roosendaal': 'Vlissingen']]
